Category;Issuer;Cert Name;Skills description;Verification URL;Date Acquired;Picture File Name
full stack;Dicoding;Basic Javascript Programming;"Pengenalan Kelas : Pengenalan kelas dan apa saja yang akan dipelajari. (10 menit)
Pengenalan JavaScript : Pengenalan tentang apa itu JavaScript, bagaimana sejarahnya, dan beberapa alasan untuk mulai mempelajarinya. (30 menit)
JavaScript Fundamentals : Menjelaskan dasar logika dan sintaksis pemrograman menggunakan JavaScript, seperti variabel, tipe data, dan perulangan. (5 jam 35 menit)
Data Structure : Menjelaskan bagaimana menyimpan dan mengelola data yang lebih kompleks menggunakan Object, Array, Map, dan Set. (4 jam 35 menit)
Function : Menjelaskan bagaimana mengelompokkan kode menjadi fungsi yang dapat dipanggil ulang. (4 jam 35 menit)
Object-Oriented Programming : Menjelaskan konsep OOP pada JavaScript, bagaimana membuat class, properti, dan method dari class. (4 jam 55 menit)
Functional Programming : Memahami konsep functional programming seperti perilaku fungsi, lambda, dan higher-order. (2 jam 35 menit)
Setup Environment : Proses instalasi lingkungan pengembangan seperti Node.js dan IDE pada perangkat yang Anda miliki. (3 jam)
Module : Menjelaskan bagaimana beberapa berkas JavaScript dapat saling berkomunikasi dan berbagi data satu sama lain. (2 jam 55 menit)
Error Handling : Menjelaskan bagaimana menangani kegagalan yang mungkin muncul dalam program sehingga tidak berdampak kepada pengguna. (3 jam 35 menit)
Concurrency : Menjelaskan bagaimana menangani dan membuat proses asynchronous pada JavaScript. (5 jam 55 menit)
Node Package Manager : Mengenalkan beberapa library yang penting untuk ditambahkan ke dalam proyek aplikasi JavaScript. (1 jam 50 menit)
JavaScript Testing : Menjelaskan bagaimana melakukan pengujian otomatis pada kode JavaScript. (3 jam 20 menit)";https://www.dicoding.com/certificates/07Z60RR9WZQR;Apr-24;JS basic.png
Cloud Engineer;Dicoding;AWS Cloud Practitioner Essentials;"Pengantar ke Amazon Web Services : Menjelaskan tentang persiapan sebelum mengikuti kelas, manfaat dari AWS, perbedaan antara penyajian on-demand dan model penerapan cloud, serta model biaya dengan skema pay-as-you-go. (45 menit)
Komputasi di Cloud : Membahas materi komputasi di cloud, seperti Amazon EC2, Elastic Load Balancing, perbedaan Amazon SNS dan Amazon SQS, serta layanan komputasi lain di AWS. (1 jam 30 menit)
Infrastruktur Global dan Keandalan : Menelaah materi terkait infrastruktur global AWS, konsep dasar Availability Zone, manfaat Amazon CloudFront dan Edge locations, serta membandingkan perbedaan metode untuk penyajian layanan AWS. (45 menit)
Jaringan : Mengupas tuntas konsep dasar jaringan, perbedaan sumber daya jaringan publik dan privat, virtual private gateway dan virtual private network, AWS Direct Connect, manfaat penerapan arsitektur hybrid, lapisan keamanan yang digunakan dalam strategi IT, dan layanan untuk berinteraksi dengan jaringan global AWS. (1 jam 15 menit)
Penyimpanan dan Database : Mengulas konsep dasar penyimpanan dan database, manfaat Amazon EBS, Amazon S3, Amazon EFS, variasi solusi penyimpanan, Amazon DynamoDB, dan terakhir ragam layanan database. (1 jam 15 menit)
Keamanan : Mendeskripsikan materi shared responsibility model, multi-factor authentication, AWS IAM, dasar-dasar kebijakan keamanan; AWS Organizations, compliance dengan AWS, dan layanan keamanan utama AWS yang mudah. (1 jam 30 menit)
Pemantauan dan Analitik : Menelaah pendekatan untuk memantau lingkungan AWS Anda, manfaat Amazon CloudWatch, AWS CloudTrail, dan AWS Trusted Advisor. (45 menit)
Harga dan Dukungan : Menguraikan materi AWS Free Tier, AWS Organizations dan consolidated billing, AWS Budgets, AWS Cost Explorer, AWS Pricing Calculator, membedakan setiap AWS Support Plan, dan terakhir AWS Marketplace. (1 jam 15 menit)
Migrasi dan Inovasi : Mengkaji materi terkait AWS CAF, enam faktor utama dari strategi migrasi cloud, manfaat beragam solusi migrasi data, dan cakupan luas dari solusi inovatif yang ditawarkan AWS. (40 menit)
Perjalanan Cloud : Menjelaskan lima pilar dari AWS Well-Architected Framework dan enam manfaat dari komputasi cloud. (40 menit)
Dasar-Dasar AWS Certified Cloud Practitioner : Mengulik sumber daya untuk persiapan ujian AWS Certified Cloud Practitioner sekaligus manfaat menjadi seseorang yang bersertifikat AWS. (1 jam 30 menit)";https://www.dicoding.com/certificates/QLZ9QWJ39Z5D;Apr-23;Cloud Practice.png
full stack;Dicoding;Fundamental Front-End Web Development;"ECMAScript 6: Belajar menerapkan sintaks terbaru pada JavaScript seperti block scope variable, template literals, destructuring object and array, spread operator dan rest parameters, arrow function, classes, promise hingga JavaScript module. (20 jam 50 menit)
Web Component: Belajar membangun component UI website yang bersifat reusable dan encapsulated dengan custom element dan shadow DOM. (10 jam 25 menit) 
Package Manager untuk Aplikasi Web: Belajar menambahkan, menghapus, dan menggunakan package JavaScript yang tersedia di NPM, serta membedakan peranan dari development dependencies dan production dependencies. (4 jam 15 menit)
Bundel dengan Module Bundler: Belajar penerapan module bundler sebagai build tools bagi aplikasi web untuk membundel berkas-berkas JavaScript menjadi satu berkas statis yang siap rilis dan optimal. (7 jam 25 menit)
Asynchronous JavaScript Request: Belajar transaksi data melalui protokol HTTP/HTTPS menggunakan Fetch API, baik menggunakan method GET, POST, PUT, maupun DELETE. (10 jam)";https://www.dicoding.com/certificates/QLZ9QWJR7Z5D;Apr-23;fundamental FE.png
full stack;Dicoding;Front-End Web Basics;"Browser Object Model dan Document Object Model: Mempelajari penerapan BOM dan DOM pada halaman website. Selain itu, modul ini mengajarkan teknik pemanipulasian DOM menggunakan JavaScript. (7 jam 55 menit)
Interaktif dengan Event: Mempelajari penerapan event dalam menciptakan interaktifitas pada HTML element. (10 jam 45 menit)
Penyimpanan Data dengan Web Storage: Mempelajari API browser yang berguna untuk penyimpanan data melalui Web Storage. Dalam modul ini mengajarkan mengenai tipe-tipe storage beserta penerapannya. (8 jam 25 menit";https://www.dicoding.com/certificates/81P23E94JXOY;Mar-23;front end basics.png
others;Dicoding;DevOps Basic;"Pengenalan DevOps : Mengetahui pengertian dan manfaat dari DevOps (2 jam).
Prinsip-Prinsip DevOps : Memahami prinsip-prinsip yang mendasari DevOps melalui The Three Ways (3 jam).
CALMS Framework : Memahami kultur DevOps melalui CALMS Framework (2 jam 53 menit).
Praktik DevOps : Mengerti praktik DevOps dengan mengenal DevOps Pipeline dan DevOps Tools (2 jam 10 menit).
Kisah Implementasi DevOps : Mengetahui bagaimana kisah pengimplementasian DevOps pada kasus nyata dengan mengambil contoh perusahaan Amazon (1 jam 50 menit).";https://www.dicoding.com/certificates/4EXGNMWQDZRL;Dec-22;devops basic.png
IT Support;Coursera;Google IT Support;"Gain skills required to succeed in an entry-level IT job
Learn to perform day-to-day IT support tasks including computer assembly, wireless networking, installing programs, and customer service
Learn how to provide end-to-end customer support, ranging from identifying problems to troubleshooting and debugging
Learn to use systems including Linux, Domain Name Systems, Command-Line Interface, and Binary Code
";https://coursera.org/share/dfee4abb6019cc508704ecbf5c2b2c14;Mar-24;Google IT Support.png
IT Support;Coursera;Google Cybersecurity;"Understand the importance of cybersecurity practices and their impact for organizations.
Identify common risks, threats, and vulnerabilities, as well as techniques to mitigate them.
Protect networks, devices, people, and data from unauthorized access and cyberattacks using Security Information and Event Management (SIEM) tools.
Gain hands-on experience with Python, Linux, and SQL.";https://coursera.org/share/b5b12d110fedca285b319f45b8b97383;Jul-24;IT Cysec.png
Cloud Engineer;Google Cloud;Google Cloud Computing Foundations Certificate;"Successful completion of the Google Cloud Computing Foundations: Cloud Computing Fundamentals course. This is the first of four courses in the Google Cloud Computing Foundations Certificate.
Successful completion of the Google Cloud Computing Foundations: Infrastructure in Google Cloud course. This is the second of four courses in the Google Cloud Computing Foundations Certificate.
Successful completion of the Google Cloud Computing Foundations: Networking & Security in Google Cloud course. This is the third of four courses in the Google Cloud Computing Foundations Certificate.
Successful completion of the Google Cloud Computing Foundations: Data, ML, and AI in Google Cloud course. This is the fourth of four courses in the Google Cloud Computing Foundations Certificate.
Successful completion of the Implement Load Balancing on Compute Engine skill badge course. This is the first of four skill badges in the Google Cloud Computing Foundations Certificate.
Successful completion of the Set Up an App Dev Environment on Google Cloud skill badge course. This is the second of four skill badges in the Google Cloud Computing Foundations Certificate.
Successful completion of the Build a Secure Google Cloud Network skill badge course. This is the third of four skill badges in the Google Cloud Computing Foundations Certificate.
Successful completion of the Prepare Data for ML APIs on Google Cloud skill badge course. This is the fourth of four skill badges in the Google Cloud Computing Foundations Certificate.";https://www.credly.com/badges/00912830-1fe7-4b13-824c-06abbc6e3ef6/public_url;May-24;GCLOUD.png
full stack;KADIN;"
Offline Training Font-End Web Developer IDCamp x KADIN 2023";"Memberikan pemahaman mendalam tentang HTML, CSS, dan JavaScript sebagai fondasi front end.Melatih peserta menggunakan framework populer (misalnya React atau Vue) untuk membangun aplikasi web.
Meningkatkan keterampilan desain UI/UX agar produk lebih ramah pengguna. Menyiapkan peserta menghadapi kebutuhan dunia kerja dan industri digital.";;May-23;Sertifikat Solo-17.pdf.png
others;The British Institute;English for Business;English for Business;;Jul-24;TBI.png
